fips,abbr_two_letter,name,abbr_ap,abbr_chicago,is_state
01,AL,Alabama,Ala.,Ala.,true
02,AK,Alaska,Alaska,Alas.,true
04,AZ,Arizona,Ariz.,Ariz.,true
05,AR,Arkansas,Ark.,Ark.,true
06,CA,California,Calif.,Calif.,true
08,CO,Colorado,Colo.,Colo.,true
09,CT,Connecticut,Conn.,Conn.,true
10,DE,Delaware,Del.,Del.,true
11,DC,District of Columbia,District of Columbia,D.C.,false
12,FL,Florida,Fla.,Fla.,true
13,GA,Georgia,Ga.,Ga.,true
15,HI,Hawaii,Hawaii,Hawaii,true
16,ID,Idaho,Idaho,Idaho,true
17,IL,Illinois,Ill.,Ill.,true
18,IN,Indiana,Ind.,Ind.,true
19,IA,Iowa,Iowa,Iowa,true
20,KS,Kansas,Kan.,Kans.,true
21,KY,Kentucky,Ky.,Ky.,true
22,LA,Louisiana,La.,La.,true
23,ME,Maine,Maine,Maine,true
24,MD,Maryland,Md.,Md.,true
25,MA,Massachusetts,Mass.,Mass.,true
26,MI,Michigan,Mich.,Mich.,true
27,MN,Minnesota,Minn.,Minn.,true
28,MS,Mississippi,Miss.,Miss.,true
29,MO,Missouri,Mo.,Mo.,true
30,MT,Montana,Mont.,Mont.,true
31,NE,Nebraska,Neb.,Nebr.,true
32,NV,Nevada,Nev.,Nev.,true
33,NH,New Hampshire,N.H.,N.H.,true
34,NJ,New Jersey,N.J.,N.J.,true
35,NM,New Mexico,N.Mex.,N.Mex.,true
36,NY,New York,N.Y.,N.Y.,true
37,NC,North Carolina,N.C.,N.C.,true
38,ND,North Dakota,N.D.,N.Dak.,true
39,OH,Ohio,Ohio,Ohio,true
40,OK,Oklahoma,Okla.,Okla.,true
41,OR,Oregon,Ore.,Oreg.,true
42,PA,Pennsylvania,Pa.,Pa.,true
44,RI,Rhode Island,R.I.,R.I.,true
45,SC,South Carolina,S.C.,S.C.,true
46,SD,South Dakota,S.D.,S.Dak.,true
47,TN,Tennessee,Tenn.,Tenn.,true
48,TX,Texas,Texas,Tex.,true
49,UT,Utah,Utah,Utah,true
50,VT,Vermont,Vt.,Vt.,true
51,VA,Virginia,Va.,Va.,true
53,WA,Washington,Wash.,Wash.,true
54,WV,West Virginia,W.Va.,W.Va.,true
55,WI,Wisconsin,Wis.,Wisc.,true
56,WY,Wyoming,Wyo.,Wyo.,true
60,AS,American Samoa,AS,AS,false
66,GU,Guam,GU,GU,false
69,MP,Northern Mariana Islands,MP,MP,false
72,PR,Puerto Rico,Puerto Rico,P.R.,false
74,UM,U.S. Minor Outlying Islands,UM,UM,false
78,VI,U.S. Virgin Islands,Virgin Islands,V.I.,false
